Year,State,District,Total Challans,Total Challan Amount,Total Revenue Collected
2018,Delhi,Delhi All Districts,381546,120569300,3866700
2019,Delhi,Delhi All Districts,5103134,615137000,212944700
2020,Bihar,Patna,20,112200,15000
2020,Chhattisgarh,Raipur,37357,33630800,13094300
2020,Chandigarh,Chandigarh,78398,62648103,31140803
2020,Delhi,Delhi All Districts,12268537,13138925050,1117413000
2020,Himachal Pradesh,Kangra,585,183200,64500
2020,Haryana,Ambala,1,2000,0
2020,Haryana,Bhiwani,24,12000,8500
2020,Haryana,Charkhi Dadri,205,96700,36700
2020,Haryana,Faridabad,12657,19600701,8036201
2020,Haryana,Fatehabad,623,407000,252500
2020,Haryana,Gurgaon,33078,43026283,9181783
2020,Haryana,Hisar,713,681600,359600
2020,Haryana,Jind,280,408500,92000
2020,Haryana,Kaithal,2342,1475700,963200
2020,Haryana,Karnal,9908,12902699,3521199
2020,Haryana,Kurukshetra,15542,14880201,5372201
2020,Haryana,Mahendragarh,35,21000,10500
2020,Haryana,Panchkula,14563,18172650,7289950
2020,Haryana,Panipat,23845,21753451,6080451
2020,Haryana,Rewari,5,2500,1500
2020,Haryana,Rohtak,245,243400,35400
2020,Haryana,Sirsa,604,614900,287900
2020,Haryana,Sonipat,574,602000,291000
2020,Haryana,Yamunanagar,5886,4314100,2444100
2020,Karanataka,Tumkur,4,1750,250
2020,Rajasthan,Jaipur,90,10600,7800
2020,Tamil Nadu,Coimbatore,25344,3030600,400000
2020,Tamil Nadu,Salem,14172,1417700,284700
2020,Tamil Nadu,Tiruchirappalli,5,300,0
2020,Uttar Pradesh,Agra,70602,67334501,10562701
2020,Uttar Pradesh,Aligarh,5380,3012800,437300
2020,Uttar Pradesh,Bara Banki,26,11900,300
2020,Uttar Pradesh,Etawah,5070,10725300,3555300
2020,Uttar Pradesh,Gautam Buddha Nagar,213674,176139651,25123451
2020,Uttar Pradesh,Kannauj,4696,10242850,3914850
2020,Uttar Pradesh,Kanshiram Nagar,7,1700,1000
2020,Uttar Pradesh,Lucknow,77074,60407653,9431753
2020,Uttar Pradesh,Mathura,375,640600,184000
2020,Uttar Pradesh,Meerut,101,48950,21850
2020,Uttar Pradesh,Moradabad,27011,19762700,9985500
2020,Uttar Pradesh,Prayagraj,103567,56048101,15457001
2020,Uttar Pradesh,Rampur,4,1600,500
2020,Uttar Pradesh,Unnao,15406,33369400,9185400
2021,Chhattisgarh,Raipur,32323,18369800,10541500
2021,Chandigarh,Chandigarh,109206,102688103,48152103
2021,Delhi,Delhi All Districts,6606433,8462383700,242712500
2021,Himachal Pradesh,Kangra,1372,411600,92600
2021,Himachal Pradesh,Kullu,2516,1271649,371949
2021,Himachal Pradesh,Mandi,340,282399,64499
2021,Himachal Pradesh,Solan,2,2500,2500
2021,Haryana,Ambala,5,10000,4000
2021,Haryana,Bhiwani,4,2000,0
2021,Haryana,Charkhi Dadri,224,119450,48950
2021,Haryana,Faridabad,28631,46934754,10853754
2021,Haryana,Fatehabad,583,461500,196000
2021,Haryana,Gurgaon,128846,125743068,13742568
2021,Haryana,Hisar,1796,1232100,542100
2021,Haryana,Jind,228,297900,44900
2021,Haryana,Kaithal,856,523400,354900
2021,Haryana,Karnal,21406,25647001,7204501
2021,Haryana,Kurukshetra,13729,13031500,4612000
2021,Haryana,Mahendragarh,2,2000,0
2021,Haryana,Panchkula,19206,21771600,7342100
2021,Haryana,Panipat,13714,10036300,3730300
2021,Haryana,Rewari,63,34000,10500
2021,Haryana,Rohtak,1120,1116400,112400
2021,Haryana,Sirsa,977,1837801,526301
2021,Haryana,Sonipat,386,331500,89500
2021,Haryana,Yamunanagar,4758,3360500,1475500
2021,Karanataka,Tumkur,4500,2249500,680500
2021,Maharathra,Ahmednagar,1300,2587000,499000
2021,Maharathra,Akola,173,102000,0
2021,Maharathra,Amravati,192,382000,88000
2021,Maharathra,Aurangabad,830,1600000,353000
